title,listPrice,onlinePrice,category,rating,reviews,stock,monthly_sales
局外人・鼠疫（诺奖得主加缪两大代表作《局外人》《鼠疫》。翻译,33.0,19.8,其他,4.2,236,133,51.0
妈妈知道怎么办：一学就通的养育法 俞敏洪、马东、凯叔、王芳 强,128.0,76.8,其他,3.5,195,107,40.0
骆驼祥子（语文教材”名著导读“经典・七年级下。疑难字词、北京,22.0,13.2,文学,4.6,251,138,64.0
爱上阅读的秘密：儿童分级阅读启蒙（大J小D新书。精装书+豪华手账,136.0,81.6,少儿,3.4,196,102,36.0
快乐读书吧 二年级上册推荐阅读 小鲤鱼跳龙门 一只想飞的猫 孤独,109.0,65.39999999999999,其他,3.6,195,96,45.0
面纱（毛姆于女性觉醒的经典作品，三次改编成电影。在欲望中流离,27.0,16.2,其他,4.7,255,136,61.0
昆虫记（语文教材“名著导读”经典・八年级上。内容更丰富版本：,42.0,25.2,文学,4.3,238,112,48.0
五味太郎：小金鱼逃走了,35.0,21.0,其他,4.9,271,109,63.0
审判（卡夫卡长篇代表作之一。钱满素、袁华清翻译）,25.0,15.0,其他,4.5,240,115,67.0
共情的力量：情商高的人，如何抚慰受伤的灵魂,49.8,29.879999999999995,其他,4.6,249,112,65.0
红岩（激励了无数青年的爱国情怀和奋斗热情）,36.0,21.6,其他,4.2,231,131,52.0
作家榜名著：人间失格（译自原版《人间失格》！译者获日本第60届,39.9,23.94,文学,4.9,261,113,64.0
小兔子学花钱系列・3~7岁孩子的财商启蒙绘本（全3册）（学花钱、,128.4,77.04,少儿,4.2,231,120,47.0
不一样的卡梅拉手绘本（1-12册）,120.0,72.0,少儿,3.9,213,114,48.0
野兽国 （凯迪克金奖绘本，莫里斯・桑达克代表作品）,36.0,21.6,少儿,4.6,253,136,65.0
论语（国学启蒙经典系列。全文注音+详尽注释+精准翻译，无需古文,38.0,22.8,其他,4.6,250,118,60.0
朝花夕拾（语文教材“名著导读经典”・七年级上。收录《朝花夕拾,18.0,10.8,文学,4.3,237,104,61.0
岛上书店（李现推荐，每个人的生命中，都有无比艰难的那一年，将,35.0,21.0,其他,4.3,236,113,59.0
人生（茅盾文学奖得主路遥代表作，全新精装版）,45.0,27.0,文学,4.5,243,131,70.0
走遍中国 图说天下 寻梦之旅,29.9,17.939999999999998,其他,4.5,255,137,79.0
三毛全集02：撒哈拉的故事,35.0,21.0,其他,4.6,246,141,57.0
手不是用来打人的（儿童好品德系列，全5册）孩子多读就见效的习惯,99.0,59.4,少儿,3.8,208,95,50.0
无声告白（我们终此一生，就是要摆脱他人的期待，找到真正的自己,35.0,21.0,其他,4.3,229,102,64.0
夏天、烟火和我的尸体（张震、田�D推荐。乙一16岁惊世成名作，高,45.0,27.0,其他,3.9,217,101,45.0
安徒生童话（小学语文“快乐读书吧”・三年级上阅读，叶君健先生,20.0,12.0,其他,4.9,265,114,60.0
半小时漫画经济学：生活常识篇+金融危机篇（共2册）（用特别有趣,101.9,61.14,经管,3.6,189,93,35.0
学会爱自己（全3辑 套装共14册 ）防性侵，安全意识、行为习惯培养,192.0,115.2,其他,3.5,188,98,30.0
简爱（英国女作家夏洛蒂・勃朗特的长篇小说，翻译家宋兆霖未删节,29.8,17.88,文学,4.4,238,125,62.0
爷爷的爷爷哪里来：人类起源的演化过程 快乐读书吧四年级下册课外,22.8,13.68,其他,4.2,234,97,66.0
月亮与六便士（精装典藏版，未删节全译+详细详注+12幅高更画作+1,45.0,27.0,其他,4.5,253,111,63.0
米小圈上学记二年级（套装共4册）,100.0,60.0,其他,4.0,223,98,47.0
苏东坡传（林语堂纪念典藏精装版）,52.0,31.2,其他,4.1,224,106,59.0
半小时漫画宋词（别光笑！有考点！漫画科普开创者二混子新作！全,54.9,32.94,其他,4.2,233,104,50.0
胡桃夹子 小学生儿童文学三四五六年级8-9-10-12岁课外阅读书籍青,19.8,11.88,文学,4.8,267,127,73.0
沉默的大多数（手稿珍藏版）,35.0,21.0,其他,4.3,234,105,57.0
0-4岁幼儿认知小百科全3册点读版中英双语启蒙早教撕不烂纸板书认,119.4,71.64,其他,3.6,198,94,35.0
神奇校车・动画版（全10册）,118.0,70.8,其他,3.6,198,117,34.0
人类群星闪耀时（无删减全译本。《一个陌生女人的来信》作者茨威,28.0,16.8,其他,4.7,257,123,70.0
局外人 如果你在人群中感到格格不入，一定要读《局外人》！全新精,45.0,27.0,其他,3.9,215,117,59.0
神奇的逻辑思维游戏书,45.0,27.0,其他,4.1,218,106,59.0
宝葫芦的秘密（中国版多啦A梦，充满魔幻的童话构思，让孩子读懂自,22.8,13.68,其他,4.7,256,143,70.0
假如给我三天光明（中小学生阅读指导目录5-6年级。海伦・凯勒在逆,18.0,10.8,其他,4.7,251,110,55.0
作家榜名著：老人与海（百万册珍藏版《老人与海》！作家鲁羊经典,39.8,23.88,文学,4.4,235,109,69.0
陪孩子终身成长（樊登作品！）,59.0,35.4,其他,3.9,222,108,37.0
小猪唏哩呼噜(注音版上、下),30.0,18.0,其他,4.5,244,134,71.0
细菌世界历险记 又名:灰尘的旅行（中小学生课外阅读指导丛书）科,26.8,16.08,其他,4.9,262,134,79.0
穿过地平线 又名:看看我们的地球 快乐读书吧 四年级下册课外阅读,24.8,14.88,其他,4.9,266,119,70.0
中国民间故事 田螺姑娘 快乐读书吧五年级上册推荐阅读(中小学生课,22.8,13.68,其他,4.8,255,123,66.0
罗尔德・达尔作品典藏（彩图拼音版）―了不起的狐狸爸爸,28.0,16.8,其他,4.6,245,126,59.0
斯凯瑞金色童书・益智经典（百年诞辰纪念版，全4册）（原斯凯瑞金,98.0,58.8,其他,3.6,201,101,40.0
钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，,32.0,19.2,其他,4.6,239,107,70.0
漫长的告别 怪不得村上春树读了12遍！每每陷入困境，村上春树便打,69.0,41.4,其他,3.9,220,115,54.0
小巴掌童话注音版8册百篇张秋生著 小学生课外读本,110.4,66.24,其他,4.0,221,106,31.0
笑背古诗：漫画版（全4册 ），中国诗词大会点评嘉宾推荐 含小学生,140.0,84.0,其他,3.7,213,122,39.0
把坏脾气收起来,36.0,21.6,其他,4.3,230,125,68.0
这就是二十四节气：升级版 全四册(文津图书奖获奖图书，请认准正,150.0,90.0,其他,3.9,220,119,37.0
我不敢说，我怕被骂――邓超微博推荐的绘本 带给孩子更多勇气和自,39.8,23.88,少儿,4.4,235,130,60.0
红楼梦原著版（上、下册，全两册，全本120回）（团购电话:400-10,59.7,35.82,其他,4.3,235,131,66.0
金奖好书 小学生必背古诗词75+80首全国通用1-6年级含统编版人教版,28.0,16.8,其他,4.5,250,115,62.0
你好！数学（超值礼品盒装，共30册）,240.0,144.0,其他,3.8,207,106,21.0
狼王梦（升级版）/动物小说大王沈石溪・品藏书系,26.0,15.6,文学,4.4,247,119,58.0
呼兰河传（《呼兰河传》和《生死场》的合编本，萧红的主要作品）,28.8,17.28,其他,4.9,267,145,68.0
漫画万物由来（全6册，桂冠童书奖，其中《豆腐》被评为第五届中国,98.0,58.8,其他,3.9,213,119,47.0
明朝那些事儿全集 增补版（新版全套9册）,297.0,178.2,其他,3.9,215,119,27.0
我有友情要出租（拼音版）,18.0,10.8,其他,4.3,232,125,52.0
青铜葵花正版曹文轩纯美小说7-8-9-10-12岁草房子系列儿童文学校园,22.0,13.2,文学,4.2,231,129,52.0
大林和小林（2020版中小学生阅读指导目录・5-6年级阅读。《宝葫芦,18.0,10.8,其他,4.5,250,133,56.0
全球最美的100个地方 图说天下 国家地理,19.9,11.94,其他,4.3,234,101,52.0
花婆婆――清华附小推荐的经典绘本！美国国家图书奖作品！,39.8,23.88,少儿,4.4,243,123,65.0
100层的房子系列（全4册，《100层的房子》+《地下100层的房子》+,156.0,93.6,其他,4.0,220,103,36.0
挪威的森林（2018年新版，村上春树的残酷青春物语，现象级的超级,38.0,22.8,其他,4.3,242,112,60.0
万历十五年 一本好书 腾讯视频栏目推荐,26.0,15.6,其他,4.6,260,125,65.0
毛泽东选集（全四册，32开）,81.0,48.6,其他,3.8,211,120,56.0
语言表达第一课（全4册）,108.0,64.8,其他,4.1,225,128,46.0
稻草人 快乐读书吧 三年级上册推荐阅读(中小学生课外阅读指导丛书,15.8,9.48,其他,4.8,255,130,87.0
牧羊少年奇幻之旅（央视《朗读者》、湖南卫视《天天向上》、李现,35.0,21.0,其他,4.5,253,104,56.0
中国最美的100个地方 图说天下 国家地理,19.9,11.94,其他,5.0,275,146,70.0
朝花夕拾(语文教材“名著导读”经典・七年级上。大语文理念打造：,26.0,15.6,文学,4.9,265,123,78.0
四五快读 全彩图升级版――幼儿快速识字阅读法（全8册）(让孩子爱,211.4,126.84,其他,3.4,188,78,27.0
拼音真好玩（全彩6册）（从幼小衔接到一年级，拼音学习启蒙书，附,99.0,59.4,教育,3.7,204,120,37.0
浮生六记（胡歌诚意推荐，畅销350万册经典版本，沈复给芸娘的绝美,32.0,19.2,其他,4.5,243,118,67.0
爱丽丝漫游奇境记（经典插图本，语文教材“快乐读书吧”六年级下,18.0,10.8,其他,4.4,239,105,54.0
放学后（东野圭吾成名作）,45.0,27.0,其他,4.2,229,108,49.0
哈利・波特全集（套装1-7册） (平装)《语文》教材推荐阅读书目，,438.0,262.8,其他,3.9,217,114,26.0
东野圭吾：嫌疑人X的献身（易烊千玺、王凯推荐，至为纯粹的爱情，,35.0,21.0,其他,4.3,246,112,54.0
外婆的道歉信（外婆说，要大笑要做梦要与众不同。人生是一场伟大,42.0,25.2,其他,3.9,216,117,50.0
郑渊洁四大名传：皮皮鲁传,25.0,15.0,其他,4.4,247,105,52.0
一只特立独行的猪,35.0,21.0,其他,4.2,230,96,66.0
幽微的人性,39.8,23.88,其他,4.8,259,123,62.0
西游记原著版（上、下册）（团购电话:400-1066666转6）,47.2,28.32,其他,4.1,225,99,57.0
中国通史（吕思勉先生写给普通读者的中国通史入门书）,39.8,23.88,其他,4.9,274,118,71.0
苏菲的世界（平装新版）八年级阅读乔斯坦贾德哲学入门书作家出版,38.0,22.8,社科,4.7,254,110,69.0
原声触摸发声书：听，什么声音（套装全6册）,330.0,198.0,其他,4.0,222,98,27.0
人类简史：从动物到上帝（第十届文津奖作品。颠覆认知，刷新世界,68.0,40.8,其他,4.0,222,94,48.0
刻意练习：如何从新手到大师 团购电话:4001066666转6,39.0,23.4,其他,4.8,255,115,76.0
终身成长：重新定义成功的思维模式,49.8,29.879999999999995,其他,3.9,211,122,62.0
我喜欢自己――邓超微博推荐的绘本 带给孩子更多勇气和自信的绘本,35.8,21.48,少儿,4.9,264,116,61.0
小英雄雨来 （读经典，悼念不朽的少年英雄，传承红色爱国思想。新,26.8,16.08,其他,4.4,247,101,50.0
克雷洛夫寓言 快乐读书吧 三年级下册课外阅读(中小学生课外阅读指,15.8,9.48,其他,4.4,241,133,65.0
汪曾祺家人闲坐，灯火可亲 散文集 愿你有家可回，有人可等。三餐,45.0,27.0,文学,4.5,243,115,71.0
神笔马良（小学语文“快乐读书吧”二年级下阅读。生词、疑难点增,21.0,12.6,其他,4.7,252,120,54.0
半小时漫画经济学3：金融危机（完结篇）（用特别有趣的方式，讲清,39.9,23.94,经管,4.6,248,139,62.0
地球的故事 快乐读书吧 四年级下册推荐阅读(中小学生课外阅读指导,22.8,13.68,其他,4.8,260,137,64.0
古汉语常用字字典(第5版)新版商务印书馆 王力古汉语字典词典文言,39.9,23.94,其他,4.5,245,110,64.0
半小时漫画科学史（从地心说到相对论，半小时读懂人类如何从蒙昧,42.0,25.2,其他,3.9,215,98,51.0
草房子：六年级推荐课外阅读书/曹文轩纯美小说系列,22.0,13.2,文学,4.2,237,117,77.0
傅雷家书（央视《读书》栏目版本！课外阅读 经典阅读）,35.0,21.0,其他,4.4,241,131,60.0
红星照耀中国  八年级上 名著阅读课程化丛书 导读版 人民教育出版,43.8,26.28,教育,4.0,221,116,54.0
事实（比尔.盖茨送给全美大学生的毕业礼物！比尔.盖茨逢人就推荐,99.0,59.4,其他,3.5,202,95,36.0
中华上下五千年(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版,15.8,9.48,其他,4.6,239,131,53.0
下雨的书店（全2册）,63.0,37.8,其他,3.9,216,103,44.0
小威向前冲,36.0,21.6,其他,4.4,238,109,61.0
果麦经典：人性的弱点（薛之谦推荐，畅销200万册，全译本忠实还原,32.0,19.2,其他,4.7,255,141,50.0
许三观卖血记（新版）,32.0,19.2,其他,4.8,256,116,69.0
森林报 春/夏/秋/冬（以报刊纪实的手法，给孩子生动地讲述四季中,91.2,54.72,其他,3.9,216,118,44.0
米小圈上学记三年级（套装共4册）,100.0,60.0,其他,3.5,187,99,39.0
信谊世界精选图画书・逃家小兔,33.8,20.28,其他,4.8,259,138,62.0
信谊世界精选图画书・爷爷一定有办法,38.8,23.28,其他,4.8,263,129,81.0
半小时漫画中国史（番外篇）：中国传统节日（屈原自己都过端午，,39.9,23.94,其他,4.5,244,121,46.0
作家榜名著：夜航船（读过《夜航船》，灵魂才有趣！年轻人要熟知,99.8,59.88,文学,4.1,227,118,55.0
自在独行 贾平凹的独行世界（畅销300万册的国民精神读本，中国作,39.0,23.4,其他,4.8,265,125,62.0
鲜衣怒马少年时-唐宋诗人的诗酒江湖（当当专享印章版，附赠精美海,49.0,29.4,其他,4.0,228,112,50.0
乡土中国（精装定制版）,21.0,12.6,其他,4.9,265,141,73.0
人性的弱点（戴尔・卡耐基成功学的奠基之作）,29.8,17.88,其他,4.5,250,123,54.0
科幻世界・三体(一),23.0,13.8,其他,4.4,234,125,58.0
古代人的日常生活（古代的光棍多吗？古人怎么擦屁屁？古人夏天如,69.9,41.940000000000005,生活,4.1,227,104,47.0
泰戈尔诗集：新月集・飞鸟集（泰戈尔诗选+《泰戈尔传》。语文教材,21.0,12.6,其他,4.6,253,127,55.0
你就是孩子最好的玩具（升级版）,38.0,22.8,其他,4.9,266,108,66.0
希腊神话故事（小学语文“快乐读书吧”・四年级上阅读。了解西方,24.0,14.4,其他,4.9,265,139,75.0
一级建造师 2020教材 2020版一级建造师 建筑工程管理与实务,78.0,46.8,经管,4.2,228,110,53.0
世界博物馆奇妙之旅（全5册，为孩子打造的博物通识启蒙绘本，世界,108.0,64.8,少儿,3.8,209,115,31.0
皮特猫・3~6岁好性格养成书：第一辑（共6册）（乐观、积极、开朗,139.9,83.94,其他,3.6,193,93,38.0
罗尔德・达尔作品典藏 了不起的狐狸爸爸,15.0,9.0,其他,4.4,236,98,72.0
枪炮、病菌与钢铁――人类社会的命运(修订版）,55.0,33.0,社科,4.6,248,129,64.0
西游记 ( 青少版，依据原著改写成现代白话文，适合小学高年级和初,26.0,15.6,其他,4.4,233,133,58.0
绿野仙踪（原版插图本，影响孩子成长的经典童话，儿童文学翻译家,20.0,12.0,文学,5.0,269,116,74.0
自卑与超越（也译作《超越自卑》。个体心理学创始人阿德勒代表作,30.0,18.0,社科,5.0,272,130,70.0
孙子兵法・三十六计（少年儿童版：完整原文+详细注释+准确翻译+历,25.0,15.0,少儿,4.4,235,105,59.0
樊登讲论语：学而（樊登重磅新作！）,72.0,43.2,其他,4.0,218,128,35.0
时间简史（插图本）（央视《朗读者》推荐）,45.0,27.0,其他,4.5,240,130,57.0
被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,55.0,33.0,社科,4.4,235,106,61.0
鲁滨孙漂流记(语文教材“快乐读书吧”六年级下阅读，也译《鲁滨逊,28.0,16.8,其他,4.4,240,121,44.0
你有多自律，就有多自由,39.9,23.94,其他,4.3,241,101,52.0
价值：我对投资的思考 （高瓴资本创始人兼首席执行官张磊力作，团,118.0,70.8,其他,4.1,229,114,35.0
列那狐的故事（舒朗大开本，与《伊索寓言》同入世界四大寓言名单,19.8,11.88,其他,4.3,234,106,77.0
父母的语言：3000万词汇塑造更强大的学习型大脑 团购电话:400106,49.0,29.4,教育,4.4,240,106,49.0
贫穷的本质（修订版）：我们为什么摆脱不了贫穷 2019诺贝尔经济学,58.0,34.8,经管,4.3,235,119,51.0
汤姆・索亚历险记（批判现实主义作家马克・吐温代表作之一，以自,24.8,14.88,其他,4.9,263,130,69.0
哈利・波特与魔法石 (平装)（《语文》教材推荐阅读书目，外国儿童,42.0,25.2,少儿,4.0,222,124,58.0
活法,38.0,22.8,其他,4.8,265,133,59.0
彩虹色的花,46.0,27.6,其他,4.3,239,131,56.0
学习高手【当当专享】百万畅销纪念版。哈佛、耶鲁、牛津三料学霸,55.0,33.0,教育,4.5,239,129,52.0
米小圈上学记四年级（套装共4册）,100.0,60.0,其他,3.5,195,91,31.0
撒野（巫哲新书）,45.0,27.0,其他,4.3,232,117,60.0
秘密花园（深受孩子们喜欢的经典童话，翻译文化终身成就奖获得者,23.0,13.8,其他,4.8,258,143,76.0
父与子全集（全彩版。一代幽默大师卜劳恩的爆笑暖心漫画）,36.0,21.6,其他,4.3,244,98,51.0
